"","ttext","date","isretweet","retweetcount","favoritecount","score","delivery","location","duplicate"
"1","RT MNageswarRaoIPS: I'm quite new on Twitter.
I've been observing some weird pattern.
In the last about 7 days twitterindia is culling my","2020-10-03 10:27:25","TRUE","834","0","-1","swiggy","mumbai",FALSE
"2","RT NavroopSingh_: Meanwhile Swamy &amp; Chelas opened You Tube account, got likes &amp; subscription &amp; collected data of many individuals in name","2020-10-03 10:27:16","TRUE","4","0","1","swiggy","mumbai",FALSE
"3","RT iAnkurSingh: Rajasthan: Why are journalists not seeking call recording of BJP leaders?

UP- Why's phone call being recorded, UP Govt is","2020-10-03 10:27:08","TRUE","1230","0","0","swiggy","mumbai",FALSE
"4","RT NavroopSingh_: Meanwhile Swamy &amp; Chelas opened You Tube account, got likes &amp; subscription &amp; collected data of many individuals in name","2020-10-03 10:26:58","TRUE","4","0","1","swiggy","mumbai",TRUE
"5","My Greetings to Shri Mahendra Pandey Ji BJP Central secretary ","2020-10-03 10:26:53","FALSE","0","0","0","swiggy","mumbai",FALSE
"6","RT dhruv_sharma8: Hats off to brajeshlive sir for fearlessly showing mirror to BJP MLA. ","2020-10-03 10:26:49","TRUE","1285","0","1","swiggy","mumbai",FALSE
"7","RT salman7khurshid: The BJP complains that Congress is doing politics. But what else can one do in democratic action. Complain if the poli","2020-10-03 10:26:36","TRUE","138","0","-2","swiggy","mumbai",FALSE
"8","RT Subhashsk6415: SSC_GD_2018_SEAT_INCREASE
SSC_GD_WAITING_LIST
BJP
Please abhi bhi time ssc gd 2018 ki  joining de do 
PMOIndia naren","2020-10-03 10:26:17","TRUE","268","0","0","swiggy","mumbai",FALSE
"9","RT iAnkurSingh: Rajasthan: Why are journalists not seeking call recording of BJP leaders?

UP- Why's phone call being recorded, UP Govt is","2020-10-03 10:26:16","TRUE","1230","0","0","swiggy","mumbai",TRUE
"10","Good BJP is trending Rajasthan. Let the world know that Rajasthan has r* pes galore. Let rahulkanwal show his scre ","2020-10-03 10:26:12","FALSE","0","0","2","swiggy","mumbai",FALSE
"11","RT ThePrintIndia: BJP IT cell head Amit Malviya tweets video of Hathras victim, experts say it violates IPC

ThePrint's Angana Chakrabarti","2020-10-03 10:26:08","TRUE","23","0","0","swiggy","mumbai",FALSE
"12","Bhakts will still defend they will vote for BJP4India, but problem is core voter of BJP is always with it from 1991 and analyze the results","2020-10-03 10:26:08","FALSE","0","0","-1","swiggy","mumbai",FALSE
"13","RT MODIfiedVikas: Truth in Hathras is completely different from what media is showing. They are stooping so low just to attack BJP.
In or","2020-10-03 10:25:56","TRUE","1447","0","-1","swiggy","mumbai",FALSE
"14","""The BJP thinks it is going to Indianise Kashmir. But, instead, what we will see is potentially the Kashmirisation ","2020-10-03 10:25:54","FALSE","0","0","0","swiggy","mumbai",FALSE
"15","RT Bobbycal: KanwalSibal Jairam_Ramesh is not only a liar but he is tweeting this to cozy up to Sonia . Order was placed in 2006 when Ma","2020-10-03 10:25:45","TRUE","4","0","0","swiggy","mumbai",FALSE
"16","RT NavroopSingh_: Meanwhile Swamy &amp; Chelas opened You Tube account, got likes &amp; subscription &amp; collected data of many individuals in name","2020-10-03 10:25:41","TRUE","4","0","1","swiggy","mumbai",TRUE
"17","RT abhisar_sharma: How the BJP and it's propaganda cell has crossed all limits of decency in the Hathras  case. The injustice to a family","2020-10-03 10:25:39","TRUE","130","0","-2","swiggy","mumbai",FALSE
"18","RT raazankeet: No matter how many seats/elections BJP wins, they can never create an ""ecosystem"" on par with Congress. Movie ""Bahut Hua Sa","2020-10-03 10:25:38","TRUE","2","0","-1","swiggy","mumbai",FALSE
"19","RT khudania_ashish: RahulJiNahiRukenge
Same dose that BJP always gives to Congress","2020-10-03 10:25:33","TRUE","1","0","0","swiggy","mumbai",FALSE
"20","RT NavroopSingh_: Meanwhile Swamy &amp; Chelas opened You Tube account, got likes &amp; subscription &amp; collected data of many individuals in name","2020-10-03 10:25:31","TRUE","4","0","1","swiggy","mumbai",TRUE
"21","RT swati_gs: A reminder: BJP was in opposition when this happened in Rajasthan. All that the party leaders did was visit the family in a M","2020-10-03 10:25:30","TRUE","963","0","-1","swiggy","mumbai",FALSE
"22","RT ThePrintIndia: BJP IT cell head Amit Malviya tweets video of Hathras victim, experts say it violates IPC

ThePrint's Angana Chakrabarti","2020-10-03 10:25:25","TRUE","23","0","0","swiggy","mumbai",TRUE
"23","RT abhisar_sharma: How the BJP and it's propaganda cell has crossed all limits of decency in the Hathras  case. The injustice to a family","2020-10-03 10:25:21","TRUE","130","0","-2","swiggy","mumbai",TRUE
"24","RT abhisar_sharma: How the BJP and it's propaganda cell has crossed all limits of decency in the Hathras  case. The injustice to a family","2020-10-03 10:25:18","TRUE","130","0","-2","swiggy","mumbai",TRUE
"25","Why BJP4India falling in same trap laid by opposition by stopping incindia going to Hathras, this guy Yogi will m ","2020-10-03 10:24:50","FALSE","0","0","-3","swiggy","mumbai",FALSE
"26","RahulJiNahiRukenge
Same dose that BJP always gives to Congress","2020-10-03 10:24:40","FALSE","1","3","0","swiggy","mumbai",FALSE
"27","RT swati_gs: A reminder: BJP was in opposition when this happened in Rajasthan. All that the party leaders did was visit the family in a M","2020-10-03 10:24:31","TRUE","963","0","-1","swiggy","mumbai",TRUE
"28","RT abhisar_sharma: How the BJP and it's propaganda cell has crossed all limits of decency in the Hathras  case. The injustice to a family","2020-10-03 10:24:31","TRUE","130","0","-2","swiggy","mumbai",TRUE
"29","RT dhruv_sharma8: Hats off to brajeshlive sir for fearlessly showing mirror to BJP MLA. ","2020-10-03 10:24:25","TRUE","1285","0","1","swiggy","mumbai",TRUE
"30","RT kabirazad2017: ANI There is no limit to the depths to which this woman and her BJP leaders will not fall to save rapists. ","2020-10-03 10:24:24","TRUE","14","0","-3","swiggy","mumbai",FALSE
"31","RT iamkhanwrs: While women in UP are being raped under the watch of myogiadityanath, Bengal BJP Mahila Morcha is giving martial training","2020-10-03 10:24:22","TRUE","10","0","-1","swiggy","mumbai",FALSE
"32","RT DeshmaneAkshay: This  is the kind of security deployment for a politician the BJP likes to dismiss as 'pappu'. 

Question: Why is the","2020-10-03 10:24:18","TRUE","16","0","1","swiggy","mumbai",FALSE
"33","RT Anishakulshres4: republic TimesNow SupremeCourtIND rashtrapatibhvn Arnab I heard clearly your News and every word shows that you ar","2020-10-03 10:24:16","TRUE","0","0","1","swiggy","mumbai",FALSE
"34","RT DelhiPYC: BJP continues to humiliate the family of the Hathras victim. They are now forced to undergo narco analysis!!

This is unforgi","2020-10-03 10:24:13","TRUE","10","0","-1","swiggy","mumbai",FALSE
"35","RT Zebaism: Ive covered the Unnao story closely. There are parallels that can be drawn with Hathras.

Just pointing out that Court convic","2020-10-03 10:23:56","TRUE","105","0","0","swiggy","mumbai",FALSE
"36","RT darpananilsingh: BiharElections2020: Dalit leaders look for more bargaining capacity in power sharing, and women's security issue may","2020-10-03 10:23:53","TRUE","3","0","-1","swiggy","mumbai",FALSE
"37","RT eOrganiser: BJP leader Rajesh Kumar Jha shot dead in Bihar's Patna: ","2020-10-03 10:23:51","TRUE","28","0","-1","swiggy","mumbai",FALSE
"38","Meanwhile Swamy &amp; Chelas opened You Tube account, got likes &amp; subscription &amp; collected data of many individuals in ","2020-10-03 10:23:42","FALSE","4","14","1","swiggy","mumbai",FALSE
"39","RT NarundarM: BJP IT Cell is targeting News Channels, Reporters, NGOs, Opposition, Bollywood.

BJP IT Cell is not targeting Rap!sts.","2020-10-03 10:23:38","TRUE","187","0","-1","swiggy","mumbai",FALSE
