"","ttext","date","isretweet","retweetcount","favoritecount","score","delivery","location","duplicate"
"1","RT ravi_sharma1834: Very poor and pathetic service by swiggy_in they don't have any control over their delivery guys and customer care to","2019-06-03 17:03:28","TRUE","1","0","-2","swiggy","delhi",FALSE
"2","Very poor and pathetic service by swiggy_in they don't have any control over their delivery guys and customer care ","2019-06-03 16:59:40","FALSE","1","0","-2","swiggy","delhi",FALSE
"3","Swiggy Pop saving my broke ass on this Monday night ","2019-06-03 16:55:12","FALSE","0","1","-1","swiggy","delhi",FALSE
"4","Dear GSKCH_INDIA
Could you pls ask your Advertising agency from where did they ZomatoIN or swiggy_in these 2-pla ","2019-06-03 16:34:39","FALSE","0","1","0","swiggy","delhi",FALSE
"5","RT satya123b: SwiggyCares swiggy_in  Can you please confirm  from when Swiggy daily service will be live in Gurgaon?","2019-06-03 16:21:02","TRUE","1","0","0","swiggy","delhi",FALSE
"6","SwiggyCares swiggy_in  Can you please confirm  from when Swiggy daily service will be live in Gurgaon?","2019-06-03 16:18:23","FALSE","1","1","0","swiggy","delhi",FALSE
"7","Zomato, Swiggy can't deliver food without hygiene rating: Punjab
","2019-06-03 16:17:16","FALSE","0","0","0","swiggy","delhi",FALSE
"8","swiggy_in
Me: Aaj ghar ka khana khaaunga.

*Randomly opens Swiggy* 

Swiggy: *offers near you* 50% off| use coupon ","2019-06-03 15:58:58","FALSE","1","1","0","swiggy","delhi",FALSE
"9","Zomato, Swiggy can't deliver food without hygiene rating: Punjab
","2019-06-03 15:57:09","FALSE","0","0","0","swiggy","delhi",TRUE
"10","In India, we are funding the eater, courier and restaurant: Uber
","2019-06-03 15:57:08","FALSE","0","0","0","swiggy","delhi",FALSE
"11","Happy Eid-e-licious  
EID is not only about seviyan Head to our tastebaaz Outlet or order it online from zomato ","2019-06-03 15:47:51","FALSE","0","0","1","swiggy","delhi",FALSE
"12","zomatocare Meanwhile u check it , i have started ordering from swiggy_in ","2019-06-03 15:36:47","FALSE","0","0","0","swiggy","delhi",FALSE
"13","vsbhatia swiggy_in nandanreddy Thanks Vishal for your suggestion and care you offer. BTW I m following Yogic lif ","2019-06-03 15:31:37","FALSE","0","1","0","swiggy","delhi",FALSE
"14","swiggy_in Ordered first time from Swiggy stores.The delivery boy picked up a wrong item within the order. Please l ","2019-06-03 15:09:00","FALSE","0","0","-1","swiggy","delhi",FALSE
"15","RT entrackr: Zomato expands food delivery biz across 300 cities: It had set a target of 500 Indian cities by October 2019
ZomatoIN deepi","2019-06-03 14:49:39","TRUE","3","0","0","swiggy","delhi",FALSE
"16","SwiggyCares swiggy_in it's been almost 45 mins still your system also showing 27mins more... Almost more than hou ","2019-06-03 14:37:25","FALSE","0","0","0","swiggy","delhi",FALSE
"17","SwiggyCares swiggy_in Give me chance here and i asaure you that i give good results here to u..","2019-06-03 14:33:02","FALSE","0","0","1","swiggy","delhi",FALSE
"18","SwiggyCares swiggy_in Here..","2019-06-03 14:11:24","FALSE","0","0","0","swiggy","delhi",FALSE
"19","Bike taxis of Olacabs, Uber and rapidobikeapp are really popular in Noida. Add to this the ZomatoIN, swiggy_in ","2019-06-03 14:07:18","FALSE","0","1","1","swiggy","delhi",FALSE
"20","Never ever going to order from ZomatoIN again Zomato ... swiggy_in is much better","2019-06-03 13:55:39","FALSE","0","0","0","swiggy","delhi",FALSE
"21","Alok_Jain anujrathi harshamjty nandanreddy swiggy_in This is great Alok_Jain Hope it comes to West Delhi. Looking forward!","2019-06-03 13:52:30","FALSE","0","1","1","swiggy","delhi",FALSE
"22","zomatocare i have been cheated with your promo. I am not able to predict on the game and hence not getting cashbac ","2019-06-03 13:51:55","FALSE","0","0","-1","swiggy","delhi",FALSE
"23","NiMesh45831802 You do know that all of them are not food making services, they are food DELIVERY services. None of ","2019-06-03 13:50:47","FALSE","0","0","0","swiggy","delhi",FALSE
"24",".Zomato looks to students for next growth wave
","2019-06-03 13:49:01","FALSE","0","3","0","swiggy","delhi",FALSE
"25","SwiggyCares swiggy_in And you didn't even take more than a minute to reply that issue has been resolved, hn ? And ","2019-06-03 13:41:43","FALSE","0","0","-1","swiggy","delhi",FALSE
"26","Bumper home cooked meals offer from Swiggy...Know all details here 

","2019-06-03 13:36:31","FALSE","0","8","0","swiggy","delhi",FALSE
"27","SwiggyCares swiggy_in is it any kind of bluff going on? I haven't received a single rupee till now and you are re ","2019-06-03 13:30:08","FALSE","0","0","0","swiggy","delhi",FALSE
"28",".swiggy_in launches separate app for delivery of home-cooked meals
","2019-06-03 13:28:58","FALSE","0","1","0","swiggy","delhi",FALSE
